"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Doctor of Philosophy - Education Management",Course,"Deakin University","AUD 124,800.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus,Warrnambool Campus","Australian Education",0,0
"Doctor of Philosophy - Engineering",Course,"Deakin University","AUD 157,600.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Doctor of Philosophy - Nursing",Course,"Deakin University","AUD 150,400.00","Melbourne Burwood Campus,Geelong Waterfront Campus,Warrnambool Campus","Australian Education",0,0
"Doctor of Philosophy - Philosophy",Course,"Deakin University","AUD 124,800.00","Melbourne Burwood Campus,Geelong Waterfront Campus,Warrnambool Campus","Australian Education",0,0
"Doctor of Philosophy - Public Health",Course,"Deakin University","AUD 150,400.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus,Geelong Waterfront Campus","Australian Education",0,0
"Doctor of Philosophy - Science",Course,"Deakin University","AUD 157,600.00","Melbourne Burwood Campus,Geelong Waterfront Campus,Warrnambool Campus","Australian Education",0,0
"Doctor of Philosophy-A212",Course,"Deakin University","AUD 150,400.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Doctor of Philosophy-IFM",Course,"Deakin University","AUD 157,600.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Business Analytics",Course,"Deakin University","AUD 27,716.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Commerce/Bachelor of Business Analytics",Course,"Deakin University","AUD 533.38","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Exercise and Sport Science/Bachelor of Nutrition Science",Course,"Deakin University","AUD 137,466.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Professional Accounting and Law",Course,"Deakin University","AUD 98,268.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Certificate of Professional Accounting and Law",Course,"Deakin University","AUD 102,444.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Data Science",Course,"Deakin University","AUD 102,444.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Psychological Science",Course,"Deakin University","AUD 34,148.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Graduate Diploma of Humanitarian Assistance",Course,"Deakin University","AUD 30,356.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Design (Architecture) / Bachelor of Construction Management (Honours)",Course,"Deakin University","AUD 160,000.00","Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Information Technology",Course,"Deakin University","AUD 99,000.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Business",Course,"Deakin University","AUD 102,444.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Architecture (Design Management)",Course,"Deakin University","AUD 91,644.00","Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Communication (Advertising)",Course,"Deakin University","AUD 32,420.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Nutrition Science",Course,"Deakin University","AUD 96,108.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Nutrition Science/Bachelor of Commerce",Course,"Deakin University","AUD 92,220.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Digital Media",Course,"Deakin University","AUD 179,470.01","Melbourne Burwood Campus","Australian Education",0,0
"Master of Biotechnology and Bioinformatics",Course,"Deakin University","AUD 128,144.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Doctor of Medicine",Course,"Deakin University","AUD 129,680.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Medical Imaging",Course,"Deakin University","AUD 129,680.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Cyber Security (Professional)",Course,"Deakin University","AUD 129,680.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Cyber Security",Course,"Deakin University","AUD 131,024.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Environmental Engineering (Honours)",Course,"Deakin University","AUD 32,756.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Design (3D Animation)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Design (Digital Technologies)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Design (Visual Communication)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Film, Television and Animation",Course,"Deakin University","AUD 34,148.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Creative Writing",Course,"Deakin University","AUD 83,148.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Graduate Diploma of Professional Writing",Course,"Deakin University","AUD 30,548.00","Melbourne Burwood Campus","Australian Education",0,0
"Masters Qualifying Program",Course,"Deakin University","AUD 3,208,122.00","Deakin College Burwood Campus","Australian Education",0,0
"Bachelor of Criminology / Bachelor of Cyber Security",Course,"Deakin University","AUD 146,319.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Software Engineering (Honours)",Course,"Deakin University","AUD 97,647.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Marketing",Course,"Deakin University","AUD 83,247.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of International Studies (Global Scholar)",Course,"Deakin University","AUD 26,900.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Business Administration (Healthcare Management)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Arts - Advanced (Honours)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Education (Early Years)",Course,"Deakin University","AUD 80,700.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Teaching English to Speakers of other Languages",Course,"Deakin University","AUD 62,865.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Education",Course,"Deakin University","AUD 132,280.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Health and Physical Education",Course,"Deakin University","AUD 19,360.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Communication (Digital Media)",Course,"Deakin University","AUD 48,900.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Arts/Master of Teaching (Secondary)",Course,"Deakin University","AUD 132,280.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Science/Master of Teaching (Secondary)",Course,"Deakin University","AUD 137,400.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Cyber Security",Course,"Deakin University","AUD 60,040.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Teaching (Primary)",Course,"Deakin University","AUD 22,675.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Teaching (Secondary)",Course,"Deakin University","AUD 23,600.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Teaching (Primary and Early Childhood)",Course,"Deakin University","AUD 166,900.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Teaching (Primary and Secondary)",Course,"Deakin University","AUD 32,600.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Business Analytics",Course,"Deakin University","AUD 25,035.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Business Analytics",Course,"Deakin University","AUD 20,145.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Data Analytics",Course,"Deakin University","AUD 20,955.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Certificate of Teaching English to Speakers of other Languages",Course,"Deakin University","AUD 23,574.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Arts (International Relations)",Course,"Deakin University","AUD 201,450.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Cultural Heritage",Course,"Deakin University","AUD 17,640.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Biomedical Science",Course,"Deakin University","AUD 17,940.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"English for Teaching",Course,"Deakin University","AUD 1,925.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Arts/Bachelor of Science",Course,"Deakin University","AUD 114,180.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Graduate Diploma of Sustainable Regional Development",Course,"Deakin University","AUD 38,060.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Occupational Therapy (Honours)",Course,"Deakin University","AUD 31,556.00","Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Communications (Honours)",Course,"Deakin University","AUD 35,280.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus,Geelong Waterfront Campus","Australian Education",0,0
"Graduate Certificate of Writing and Literature",Course,"Deakin University","AUD 141,120.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Writing and Literature",Course,"Deakin University","AUD 132,280.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Certificate of Communication",Course,"Deakin University","AUD 222,350.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Communication (Public Relations)",Course,"Deakin University","AUD 118,560.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Food and Nutrition Sciences / Bachelor of Commerce",Course,"Deakin University","AUD 197,600.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Science",Course,"Deakin University","AUD 197,600.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Arts (Writing and Literature)",Course,"Deakin University","AUD 222,350.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Communication",Course,"Deakin University","AUD 38,720.00","Melbourne Burwood Campus","Australian Education",0,0
"Graduate Diploma of Communication",Course,"Deakin University","AUD 120,870.00","Melbourne Burwood Campus","Australian Education",0,0
"General English Program - GE",Course,"Deakin University","AUD 19,250.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"English for Specific Purposes (ESP)",Course,"Deakin University","AUD 1,925.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"English for Academic Purposes Program (EAP)",Course,"Deakin University","AUD 7,700.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Computer Science",Course,"Deakin University","AUD 176,400.00","Melbourne Burwood Campus","Australian Education",0,0
"Bachelor of Communication (Journalism)",Course,"Deakin University","AUD 97,800.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Creative Arts (Honours)",Course,"Deakin University","AUD 111,720.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Creative Arts",Course,"Deakin University","AUD 186,200.01","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Graduate Diploma of Creative Arts",Course,"Deakin University","AUD 38,060.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Graduate Certificate of Creative Arts",Course,"Deakin University","AUD 141,120.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Construction Management (Professional)",Course,"Deakin University","AUD 102,444.00","Geelong Waterfront Campus","Australian Education",0,0
"Bachelor of Nursing/ Bachelor of Psychological Science",Course,"Deakin University","AUD 190,300.00","Melbourne Burwood Campus,Geelong Waterfront Campus,Warrnambool Campus","Australian Education",0,0
"Bachelor of Criminology / Bachelor of Psychological Science",Course,"Deakin University","AUD 201,450.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Mechanical Engineering (Honours)",Course,"Deakin University","AUD 189,220.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Bachelor of Electrical and Electronics Engineering (Honours)",Course,"Deakin University","AUD 208,141.99","Geelong Waurn Ponds Campus","Australian Education",0,0
